"ensembl_transcript_id","mgi_symbol","transcript_biotype","description"
"ENSMUST00000181955","Mir100hg","lncRNA","Mir100 Mirlet7a-2 Mir125b-1 cluster host gene [Source:MGI Symbol;Acc:MGI:1920394]"
"ENSMUST00000232959","Mir100hg","lncRNA","Mir100 Mirlet7a-2 Mir125b-1 cluster host gene [Source:MGI Symbol;Acc:MGI:1920394]"
"ENSMUST00000181296","Mir100hg","retained_intron","Mir100 Mirlet7a-2 Mir125b-1 cluster host gene [Source:MGI Symbol;Acc:MGI:1920394]"
"ENSMUST00000098868","Mir100hg","lncRNA","Mir100 Mirlet7a-2 Mir125b-1 cluster host gene [Source:MGI Symbol;Acc:MGI:1920394]"
"ENSMUST00000213859","BC049987","lncRNA","cDNA sequence BC049987 [Source:MGI Symbol;Acc:MGI:3039606]"
"ENSMUST00000146938","Gm16124","lncRNA","predicted gene 16124 [Source:MGI Symbol;Acc:MGI:3802001]"
"ENSMUST00000180727","Gm16794","lncRNA","predicted gene, 16794 [Source:MGI Symbol;Acc:MGI:4439718]"
"ENSMUST00000185324","Gm16794","lncRNA","predicted gene, 16794 [Source:MGI Symbol;Acc:MGI:4439718]"
"ENSMUST00000181139","Gm16794","lncRNA","predicted gene, 16794 [Source:MGI Symbol;Acc:MGI:4439718]"
"ENSMUST00000035227","Nicn1","protein_coding","nicolin 1 [Source:MGI Symbol;Acc:MGI:1913507]"
"ENSMUST00000035230","Amt","protein_coding","aminomethyltransferase [Source:MGI Symbol;Acc:MGI:3646700]"
"ENSMUST00000044725","Tcta","protein_coding","T cell leukemia translocation altered gene [Source:MGI Symbol;Acc:MGI:1918829]"
"ENSMUST00000007959","Rhoa","protein_coding","ras homolog family member A [Source:MGI Symbol;Acc:MGI:1096342]"
"ENSMUST00000193619","Rhoa","retained_intron","ras homolog family member A [Source:MGI Symbol;Acc:MGI:1096342]"
"ENSMUST00000141907","Pold2","retained_intron","polymerase (DNA directed), delta 2, regulatory subunit [Source:MGI Symbol;Acc:MGI:1097163]"
"ENSMUST00000082429","Gpx1","protein_coding","glutathione peroxidase 1 [Source:MGI Symbol;Acc:MGI:104887]"
"ENSMUST00000035237","Usp4","protein_coding","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000194224","Usp4","nonsense_mediated_decay","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000193093","Usp4","retained_intron","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000194959","Usp4","protein_coding","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000194065","Usp4","retained_intron","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000193288","Usp4","protein_coding","ubiquitin specific peptidase 4 (proto-oncogene) [Source:MGI Symbol;Acc:MGI:98905]"
"ENSMUST00000195351","Gm37963","lncRNA","predicted gene, 37963 [Source:MGI Symbol;Acc:MGI:5611191]"
"ENSMUST00000076592","Iho1","protein_coding","interactor of HORMAD1 1 [Source:MGI Symbol;Acc:MGI:3612242]"
"ENSMUST00000193286","Klhdc8b","protein_coding","kelch domain containing 8B [Source:MGI Symbol;Acc:MGI:1925517]"
"ENSMUST00000195869","Klhdc8b","retained_intron","kelch domain containing 8B [Source:MGI Symbol;Acc:MGI:1925517]"
"ENSMUST00000061209","Ccdc71","protein_coding","coiled-coil domain containing 71 [Source:MGI Symbol;Acc:MGI:1919704]"
"ENSMUST00000193170","Ccdc71","protein_coding","coiled-coil domain containing 71 [Source:MGI Symbol;Acc:MGI:1919704]"
"ENSMUST00000193107","Gm37475","TEC","predicted gene, 37475 [Source:MGI Symbol;Acc:MGI:5610703]"
"ENSMUST00000065014","Lamb2","protein_coding","laminin, beta 2 [Source:MGI Symbol;Acc:MGI:99916]"
"ENSMUST00000144253","Qars","retained_intron","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]"
"ENSMUST00000207790","Qars","nonsense_mediated_decay","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]"
"ENSMUST00000208177","Qars","protein_coding","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]"
"ENSMUST00000207180","Qars","nonsense_mediated_decay","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]"
"ENSMUST00000208962","Qars","nonsense_mediated_decay","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]"
"ENSMUST00000006851","Qrich1","protein_coding","glutamine-rich 1 [Source:MGI Symbol;Acc:MGI:1916482]"
"ENSMUST00000193127","Gm38366","TEC","predicted gene, 38366 [Source:MGI Symbol;Acc:MGI:5611594]"
"ENSMUST00000192908","Gm37678","TEC","predicted gene, 37678 [Source:MGI Symbol;Acc:MGI:5610906]"
"ENSMUST00000194904","Impdh2","protein_coding","inosine monophosphate dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:109367]"
"ENSMUST00000193493","Impdh2","retained_intron","inosine monophosphate dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:109367]"
"ENSMUST00000194689","Impdh2","retained_intron","inosine monophosphate dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:109367]"
"ENSMUST00000074208","Ndufaf3","protein_coding","NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:MGI Symbol;Acc:MGI:1913956]"
"ENSMUST00000194381","Ndufaf3","protein_coding","NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:MGI Symbol;Acc:MGI:1913956]"
"ENSMUST00000193242","Ndufaf3","retained_intron","NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:MGI Symbol;Acc:MGI:1913956]"
"ENSMUST00000193193","4833445I07Rik","lncRNA","RIKEN cDNA 4833445I07 gene [Source:MGI Symbol;Acc:MGI:2143268]"
"ENSMUST00000019183","Dalrd3","protein_coding","DALR anticodon binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1915039]"
"ENSMUST00000191897","Dalrd3","retained_intron","DALR anticodon binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1915039]"
"ENSMUST00000191881","Dalrd3","retained_intron","DALR anticodon binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1915039]"
"ENSMUST00000068700","Wdr6","protein_coding","WD repeat domain 6 [Source:MGI Symbol;Acc:MGI:1930140]"
"ENSMUST00000006853","P4htm","protein_coding","prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]"
"ENSMUST00000195181","P4htm","retained_intron","prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]"
"ENSMUST00000192080","P4htm","protein_coding","prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:MGI Symbol;Acc:MGI:1921693]"
"ENSMUST00000013338","Arih2","protein_coding","ariadne RBR E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1344361]"
"ENSMUST00000193923","Arih2","retained_intron","ariadne RBR E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1344361]"
"ENSMUST00000195741","Arih2","retained_intron","ariadne RBR E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:1344361]"
"ENSMUST00000194088","Slc25a20","retained_intron","solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20 [Source:MGI Symbol;Acc:MGI:1928738]"
"ENSMUST00000035222","Slc25a20","protein_coding","solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20 [Source:MGI Symbol;Acc:MGI:1928738]"
"ENSMUST00000166103","Usp19","protein_coding","ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"ENSMUST00000193678","Usp19","protein_coding","ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"ENSMUST00000193412","Usp19","retained_intron","ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"ENSMUST00000193975","Usp19","retained_intron","ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"ENSMUST00000010205","Gnat1","protein_coding","G protein subunit alpha transducin 1 [Source:MGI Symbol;Acc:MGI:95778]"
"ENSMUST00000167868","Slc38a3","protein_coding","solute carrier family 38, member 3 [Source:MGI Symbol;Acc:MGI:1923507]"
"ENSMUST00000010208","Slc38a3","protein_coding","solute carrier family 38, member 3 [Source:MGI Symbol;Acc:MGI:1923507]"
"ENSMUST00000193932","Slc38a3","protein_coding","solute carrier family 38, member 3 [Source:MGI Symbol;Acc:MGI:1923507]"
"ENSMUST00000177567","Slc38a3","protein_coding","solute carrier family 38, member 3 [Source:MGI Symbol;Acc:MGI:1923507]"
"ENSMUST00000215114","Gm47102","processed_pseudogene","predicted gene, 47102 [Source:MGI Symbol;Acc:MGI:6095838]"
"ENSMUST00000001544","Vwa5a","protein_coding","von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026]"
"ENSMUST00000118144","Vwa5a","protein_coding","von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026]"
"ENSMUST00000149376","Vwa5a","retained_intron","von Willebrand factor A domain containing 5A [Source:MGI Symbol;Acc:MGI:1915026]"
"ENSMUST00000074740","Or8b53","protein_coding","olfactory receptor family 8 subfamily B member 53 [Source:MGI Symbol;Acc:MGI:3030754]"
"ENSMUST00000042485","AW551984","protein_coding","expressed sequence AW551984 [Source:MGI Symbol;Acc:MGI:2143322]"
"ENSMUST00000119722","AW551984","protein_coding","expressed sequence AW551984 [Source:MGI Symbol;Acc:MGI:2143322]"
"ENSMUST00000147753","AW551984","retained_intron","expressed sequence AW551984 [Source:MGI Symbol;Acc:MGI:2143322]"
"ENSMUST00000215192","Or10d1b","protein_coding","olfactory receptor family 10 subfamily D member 1B [Source:MGI Symbol;Acc:MGI:2660716]"
"ENSMUST00000213358","Or8g4","protein_coding","olfactory receptor family 8 subfamily G member 4 [Source:MGI Symbol;Acc:MGI:3030801]"
"ENSMUST00000214039","Gm7435","processed_transcript","predicted gene 7435 [Source:MGI Symbol;Acc:MGI:3646489]"
"ENSMUST00000216647","Or10d5","protein_coding","olfactory receptor family 10 subfamily D member 5 [Source:MGI Symbol;Acc:MGI:3030809]"
"ENSMUST00000141185","Vill","protein_coding","villin-like [Source:MGI Symbol;Acc:MGI:1201781]"
"ENSMUST00000126251","Vill","protein_coding","villin-like [Source:MGI Symbol;Acc:MGI:1201781]"
"ENSMUST00000214470","Plcd1","protein_coding","phospholipase C, delta 1 [Source:MGI Symbol;Acc:MGI:97614]"
"ENSMUST00000010804","Plcd1","protein_coding","phospholipase C, delta 1 [Source:MGI Symbol;Acc:MGI:97614]"
"ENSMUST00000140326","Dlec1","protein_coding","deleted in lung and esophageal cancer 1 [Source:MGI Symbol;Acc:MGI:2443671]"
"ENSMUST00000055775","Dlec1","nonsense_mediated_decay","deleted in lung and esophageal cancer 1 [Source:MGI Symbol;Acc:MGI:2443671]"
"ENSMUST00000137047","Dlec1","retained_intron","deleted in lung and esophageal cancer 1 [Source:MGI Symbol;Acc:MGI:2443671]"
"ENSMUST00000128211","Dlec1","retained_intron","deleted in lung and esophageal cancer 1 [Source:MGI Symbol;Acc:MGI:2443671]"
"ENSMUST00000000388","Ccm2","protein_coding","cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]"
"ENSMUST00000109722","Ccm2","protein_coding","cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]"
"ENSMUST00000109721","Ccm2","protein_coding","cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]"
"ENSMUST00000093527","Gm47289","lncRNA","predicted gene, 47289 [Source:MGI Symbol;Acc:MGI:6096143]"
"ENSMUST00000084797","Slc22a13","protein_coding","solute carrier family 22 (organic cation transporter), member 13 [Source:MGI Symbol;Acc:MGI:2143107]"
"ENSMUST00000045713","Nacad","protein_coding","NAC alpha domain containing [Source:MGI Symbol;Acc:MGI:3603030]"
"ENSMUST00000040853","Oxsr1","protein_coding","oxidative-stress responsive 1 [Source:MGI Symbol;Acc:MGI:1917378]"
"ENSMUST00000128880","Oxsr1","nonsense_mediated_decay","oxidative-stress responsive 1 [Source:MGI Symbol;Acc:MGI:1917378]"
"ENSMUST00000143728","Oxsr1","nonsense_mediated_decay","oxidative-stress responsive 1 [Source:MGI Symbol;Acc:MGI:1917378]"
"ENSMUST00000035092","Myd88","protein_coding","myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]"
"ENSMUST00000039784","Acaa1a","protein_coding","acetyl-Coenzyme A acyltransferase 1A [Source:MGI Symbol;Acc:MGI:2148491]"
"ENSMUST00000156969","Tbrg4","nonsense_mediated_decay","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUST00000000394","Tbrg4","protein_coding","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUST00000132446","Tbrg4","retained_intron","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUST00000131815","Tbrg4","protein_coding_CDS_not_defined","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUST00000189268","Tbrg4","protein_coding","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUST00000194508","Gm36936","TEC","predicted gene, 36936 [Source:MGI Symbol;Acc:MGI:5610164]"
"ENSMUST00000055535","Prtg","protein_coding","protogenin [Source:MGI Symbol;Acc:MGI:2444710]"
"ENSMUST00000192843","A730062M13Rik","TEC","RIKEN cDNA A730062M13 gene [Source:MGI Symbol;Acc:MGI:3029302]"
"ENSMUST00000193259","Gm37234","TEC","predicted gene, 37234 [Source:MGI Symbol;Acc:MGI:5610462]"
"ENSMUST00000038489","Pygo1","protein_coding","pygopus 1 [Source:MGI Symbol;Acc:MGI:1919385]"
"ENSMUST00000098567","Dnaaf4","protein_coding","dynein axonemal assembly factor 4 [Source:MGI Symbol;Acc:MGI:1914935]"
"ENSMUST00000034734","Dnaaf4","protein_coding","dynein axonemal assembly factor 4 [Source:MGI Symbol;Acc:MGI:1914935]"
"ENSMUST00000149692","Gm44503","nonsense_mediated_decay","predicted readthrough transcript (NMD candidate), 44503 [Source:MGI Symbol;Acc:MGI:5141975]"
"ENSMUST00000037977","Ccpg1","protein_coding","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000150826","Ccpg1","protein_coding","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000183672","Ccpg1","retained_intron","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000085350","Ccpg1","protein_coding","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000124008","Ccpg1","nonsense_mediated_decay","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000138466","Ccpg1","retained_intron","cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419]"
"ENSMUST00000183746","Pigb","nonsense_mediated_decay","phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]"
"ENSMUST00000093819","Pigb","protein_coding","phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]"
"ENSMUST00000184389","Pigb","protein_coding","phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]"
"ENSMUST00000185027","Pigb","retained_intron","phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]"
"ENSMUST00000194364","Gm38192","TEC","predicted gene, 38192 [Source:MGI Symbol;Acc:MGI:5611420]"
"ENSMUST00000184126","Pigbos1","protein_coding","Pigb opposite strand 1 [Source:MGI Symbol;Acc:MGI:1913614]"
"ENSMUST00000184319","Pigbos1","retained_intron","Pigb opposite strand 1 [Source:MGI Symbol;Acc:MGI:1913614]"
"ENSMUST00000184146","Rab27a","protein_coding","RAB27A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1861441]"
"ENSMUST00000034722","Rab27a","protein_coding","RAB27A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1861441]"
"ENSMUST00000020706","Adcy1","protein_coding","adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]"
"ENSMUST00000135398","Adcy1","protein_coding_CDS_not_defined","adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]"
"ENSMUST00000034738","Rsl24d1","protein_coding","ribosomal L24 domain containing 1 [Source:MGI Symbol;Acc:MGI:2681840]"
"ENSMUST00000124565","Pierce2","protein_coding","piercer of microtubule wall 2 [Source:MGI Symbol;Acc:MGI:3648770]"
"ENSMUST00000184123","Pierce2","retained_intron","piercer of microtubule wall 2 [Source:MGI Symbol;Acc:MGI:3648770]"
"ENSMUST00000020702","Igfbp3","protein_coding","insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]"
"ENSMUST00000035179","Nudt16","protein_coding","nudix hydrolase 16 [Source:MGI Symbol;Acc:MGI:1922936]"
"ENSMUST00000190375","Nudt16","retained_intron","nudix hydrolase 16 [Source:MGI Symbol;Acc:MGI:1922936]"
"ENSMUST00000186933","Nudt16","retained_intron","nudix hydrolase 16 [Source:MGI Symbol;Acc:MGI:1922936]"
"ENSMUST00000172306","Dusp7","protein_coding","dual specificity phosphatase 7 [Source:MGI Symbol;Acc:MGI:2387100]"
"ENSMUST00000193878","Dusp7","protein_coding_CDS_not_defined","dual specificity phosphatase 7 [Source:MGI Symbol;Acc:MGI:2387100]"
"ENSMUST00000150576","Rpl29","protein_coding","ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"
"ENSMUST00000059802","Rpl29","protein_coding","ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"
"ENSMUST00000214067","Rpl29","protein_coding","ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"
"ENSMUST00000190851","Acy1","retained_intron","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]"
"ENSMUST00000024031","Acy1","protein_coding","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]"
"ENSMUST00000189097","Acy1","retained_intron","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]"
"ENSMUST00000217531","Acy1","protein_coding","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]"
"ENSMUST00000214275","Acy1","protein_coding","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]"
"ENSMUST00000134823","Tns3","protein_coding_CDS_not_defined","tensin 3 [Source:MGI Symbol;Acc:MGI:2443012]"
"ENSMUST00000020695","Tns3","protein_coding","tensin 3 [Source:MGI Symbol;Acc:MGI:2443012]"
"ENSMUST00000048527","Abhd14b","protein_coding","abhydrolase domain containing 14b [Source:MGI Symbol;Acc:MGI:1923741]"
"ENSMUST00000213179","Abhd14b","protein_coding","abhydrolase domain containing 14b [Source:MGI Symbol;Acc:MGI:1923741]"
"ENSMUST00000024260","Pcbp4","protein_coding","poly(rC) binding protein 4 [Source:MGI Symbol;Acc:MGI:1890471]"
"ENSMUST00000187975","Pcbp4","protein_coding_CDS_not_defined","poly(rC) binding protein 4 [Source:MGI Symbol;Acc:MGI:1890471]"
"ENSMUST00000164834","Gpr62","protein_coding","G protein-coupled receptor 62 [Source:MGI Symbol;Acc:MGI:3525078]"
"ENSMUST00000067218","Parp3","protein_coding","poly (ADP-ribose) polymerase family, member 3 [Source:MGI Symbol;Acc:MGI:1891258]"
"ENSMUST00000145396","Parp3","retained_intron","poly (ADP-ribose) polymerase family, member 3 [Source:MGI Symbol;Acc:MGI:1891258]"
"ENSMUST00000139362","Parp3","retained_intron","poly (ADP-ribose) polymerase family, member 3 [Source:MGI Symbol;Acc:MGI:1891258]"
"ENSMUST00000119652","Gm11991","processed_pseudogene","predicted gene 11991 [Source:MGI Symbol;Acc:MGI:3651121]"
"ENSMUST00000125630","Rrp9","retained_intron","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:MGI Symbol;Acc:MGI:2384313]"
"ENSMUST00000156796","Rrp9","retained_intron","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:MGI Symbol;Acc:MGI:2384313]"
"ENSMUST00000185336","Rrp9","nonsense_mediated_decay","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:MGI Symbol;Acc:MGI:2384313]"
"ENSMUST00000131618","Rrp9","retained_intron","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:MGI Symbol;Acc:MGI:2384313]"
"ENSMUST00000020683","Hus1","protein_coding","HUS1 checkpoint clamp component [Source:MGI Symbol;Acc:MGI:1277962]"
"ENSMUST00000129115","Hus1","nonsense_mediated_decay","HUS1 checkpoint clamp component [Source:MGI Symbol;Acc:MGI:1277962]"
"ENSMUST00000152890","Hus1","retained_intron","HUS1 checkpoint clamp component [Source:MGI Symbol;Acc:MGI:1277962]"
"ENSMUST00000139877","Hus1","retained_intron","HUS1 checkpoint clamp component [Source:MGI Symbol;Acc:MGI:1277962]"
"ENSMUST00000171925","Abhd14a","protein_coding","abhydrolase domain containing 14A [Source:MGI Symbol;Acc:MGI:1915894]"
"ENSMUST00000185799","Cep70","protein_coding","centrosomal protein 70 [Source:MGI Symbol;Acc:MGI:1915371]"
"ENSMUST00000093795","Cep70","protein_coding","centrosomal protein 70 [Source:MGI Symbol;Acc:MGI:1915371]"
"ENSMUST00000190715","Cep70","protein_coding","centrosomal protein 70 [Source:MGI Symbol;Acc:MGI:1915371]"
"ENSMUST00000043285","Gm11992","protein_coding","predicted gene 11992 [Source:MGI Symbol;Acc:MGI:3651127]"
"ENSMUST00000101525","Upp1","protein_coding","uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668]"
"ENSMUST00000168121","Upp1","retained_intron","uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668]"
"ENSMUST00000164791","Upp1","protein_coding","uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668]"
"ENSMUST00000195185","Gm37249","TEC","predicted gene, 37249 [Source:MGI Symbol;Acc:MGI:5610477]"
"ENSMUST00000042158","Esyt3","protein_coding","extended synaptotagmin-like protein 3 [Source:MGI Symbol;Acc:MGI:1098699]"
"ENSMUST00000035045","Mras","protein_coding","muscle and microspikes RAS [Source:MGI Symbol;Acc:MGI:1100856]"
"ENSMUST00000122384","Mras","protein_coding","muscle and microspikes RAS [Source:MGI Symbol;Acc:MGI:1100856]"
"ENSMUST00000119472","Mras","protein_coding","muscle and microspikes RAS [Source:MGI Symbol;Acc:MGI:1100856]"
"ENSMUST00000056103","Nme9","retained_intron","NME/NM23 family member 9 [Source:MGI Symbol;Acc:MGI:4359686]"
"ENSMUST00000035043","Armc8","protein_coding","armadillo repeat containing 8 [Source:MGI Symbol;Acc:MGI:1921375]"
"ENSMUST00000186049","Armc8","protein_coding","armadillo repeat containing 8 [Source:MGI Symbol;Acc:MGI:1921375]"
"ENSMUST00000066650","Dbr1","protein_coding","debranching RNA lariats 1 [Source:MGI Symbol;Acc:MGI:1931520]"
"ENSMUST00000008573","Herpud2","protein_coding","HERPUD family member 2 [Source:MGI Symbol;Acc:MGI:1915393]"
"ENSMUST00000214190","Herpud2","retained_intron","HERPUD family member 2 [Source:MGI Symbol;Acc:MGI:1915393]"
"ENSMUST00000186170","Gm29642","lncRNA","predicted gene 29642 [Source:MGI Symbol;Acc:MGI:5580348]"
"ENSMUST00000165594","Septin7","protein_coding","septin 7 [Source:MGI Symbol;Acc:MGI:1335094]"
"ENSMUST00000214911","Septin7","retained_intron","septin 7 [Source:MGI Symbol;Acc:MGI:1335094]"
"ENSMUST00000048121","Myrip","protein_coding","myosin VIIA and Rab interacting protein [Source:MGI Symbol;Acc:MGI:2384407]"
"ENSMUST00000213677","D830035M03Rik","lncRNA","RIKEN cDNA D830035M03 gene [Source:MGI Symbol;Acc:MGI:2686558]"
"ENSMUST00000047687","Entpd3","protein_coding","ectonucleoside triphosphate diphosphohydrolase 3 [Source:MGI Symbol;Acc:MGI:1321386]"
"ENSMUST00000165532","Rpl14","protein_coding","ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"
"ENSMUST00000213310","Rpl14","retained_intron","ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"
"ENSMUST00000216990","Rpl14","nonsense_mediated_decay","ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"
"ENSMUST00000215063","Rpl14","retained_intron","ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365]"
"ENSMUST00000109678","Spata48","protein_coding","spermatogenesis associated 48 [Source:MGI Symbol;Acc:MGI:1921112]"
"ENSMUST00000213974","5830454E08Rik","lncRNA","RIKEN cDNA 5830454E08 gene [Source:MGI Symbol;Acc:MGI:1923350]"
"ENSMUST00000064646","5830454E08Rik","lncRNA","RIKEN cDNA 5830454E08 gene [Source:MGI Symbol;Acc:MGI:1923350]"
"ENSMUST00000216606","Gm39456","lncRNA","predicted gene, 39456 [Source:MGI Symbol;Acc:MGI:5622341]"
"ENSMUST00000007139","Eif1b","protein_coding","eukaryotic translation initiation factor 1B [Source:MGI Symbol;Acc:MGI:1916219]"
"ENSMUST00000136810","Ddc","protein_coding_CDS_not_defined","dopa decarboxylase [Source:MGI Symbol;Acc:MGI:94876]"
"ENSMUST00000146359","Ddc","protein_coding_CDS_not_defined","dopa decarboxylase [Source:MGI Symbol;Acc:MGI:94876]"
"ENSMUST00000041029","Smad6","protein_coding","SMAD family member 6 [Source:MGI Symbol;Acc:MGI:1336883]"
"ENSMUST00000124020","Lctl","nonsense_mediated_decay","lactase-like [Source:MGI Symbol;Acc:MGI:2183549]"
"ENSMUST00000118215","Lctl","protein_coding","lactase-like [Source:MGI Symbol;Acc:MGI:2183549]"
"ENSMUST00000122091","Zwilch","protein_coding","zwilch kinetochore protein [Source:MGI Symbol;Acc:MGI:1915264]"
"ENSMUST00000034966","Rpl4","protein_coding","ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]"
"ENSMUST00000034965","Snapc5","protein_coding","small nuclear RNA activating complex, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1914282]"
"ENSMUST00000005066","Map2k1","protein_coding","mitogen-activated protein kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346866]"
"ENSMUST00000216594","Tipin","protein_coding","timeless interacting protein [Source:MGI Symbol;Acc:MGI:1921571]"
"ENSMUST00000034964","Tipin","protein_coding","timeless interacting protein [Source:MGI Symbol;Acc:MGI:1921571]"
"ENSMUST00000168844","Dis3l","protein_coding","DIS3 like exosome 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:2143272]"
"ENSMUST00000068367","Dis3l","protein_coding","DIS3 like exosome 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:2143272]"
"ENSMUST00000113890","Dis3l","protein_coding","DIS3 like exosome 3'-5' exoribonuclease [Source:MGI Symbol;Acc:MGI:2143272]"
"ENSMUST00000093321","Grb10","protein_coding","growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]"
"ENSMUST00000109654","Grb10","protein_coding","growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]"
"ENSMUST00000214407","Gm48114","TEC","predicted gene, 48114 [Source:MGI Symbol;Acc:MGI:6097467]"
